ID,Title,Author,Year,Format,File
1,Bumi,Tere Liye,2014,PDF,ebook/Bumi.pdf
2,As Long As the Lemon Trees Grow,Zoulfa Katouh,2022,PDF,ebook/As Long As the Lemon Trees Grow.pdf
3,candide,Voltaire,1759,PDF,ebook/candide.pdf
4,goodwivesstory,Louisa May Alcott,1869,PDF,ebook/goodwivesstory.pdf
5,The Woman in White Grangerized,Wilkie Collins,1860,PDF,ebook/The Woman in White Grangerized.pdf
6,Public Finance,David N.Hayman,1960,PDF,ebook/Public Finance.pdf
7,Managing Conflict in Organizations,M.Afzalur Rahim,2001,PDF,ebook/Managing Conflict in Organizations.pdf
8,Introductory econometrics,Jeffrey M.Wooldridge,2013,PDF,ebook/Introductory econometrics.pdf
9,advanced macroeconomics,Davin Romer,2012,PDf,ebook/advanced macroeconomics.pdf
10,LIBRARIES Interior design for libraries  drawing on function and appeal,Carol R.Brown,2002,PDF,ebook/LIBRARIES Interior design for libraries  drawing on function and appeal.pdf
11,Resume Kuliah Tamu Rofiqo,Rofiqo,2025,PDF,ebook/Resume Kuliah Tamu Rofiqo.pdf
